STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2015,,140,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2016,,151,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2017,,145,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2018,,161,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2019,,176,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2020,,191,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2021,,212,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2022,,232,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2023,,292,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AL,Albania,2024,,328,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2015,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2016,,550,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2017,,555,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2018,,562,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2019,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2020,,570,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2021,,572,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2022,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2023,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,AT,Austria,2024,,569,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2015,,235,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2016,,245,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2017,,252,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2018,,263,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2019,,269,,ip,"value imputed by Eurostat or other receiving agencies, provisional",,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2020,,268,,ip,"value imputed by Eurostat or other receiving agencies, provisional",,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2021,,284,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2022,,292,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2023,,306,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BA,Bosnia and Herzegovina,2024,,321,,p,provisional,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2015,,501,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2016,,505,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2017,,509,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2018,,511,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2019,,510,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2020,,510,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2021,,510,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2022,,507,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2023,,512,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BE,Belgium,2024,,513,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2015,,456,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2016,,459,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2017,,410,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2018,,416,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2019,,431,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2020,,439,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2021,,437,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2022,,449,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2023,,466,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,BG,Bulgaria,2024,,484,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2015,,541,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2016,,544,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2017,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2018,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2019,,545,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2020,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2021,,549,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2022,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2023,,542,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CH,Switzerland,2024,,542,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2015,,565,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2016,,584,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2017,,599,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2018,,619,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2019,,634,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2020,,632,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2021,,637,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2022,,633,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2023,,647,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CY,Cyprus,2024,,659,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2015,,485,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2016,,502,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2017,,522,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2018,,540,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2019,,554,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2020,,576,,b,break in time series,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2021,,579,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2022,,582,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2023,,597,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,CZ,Czechia,2024,,608,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2015,,548,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2016,,555,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2017,,561,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2018,,567,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2019,,574,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2020,,580,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2021,,583,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2022,,587,,b,break in time series,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2023,,588,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DE,Germany,2024,,590,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2015,,419,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2016,,429,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2017,,438,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2018,,447,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2019,,455,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2020,,466,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2021,,475,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2022,,472,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2023,,474,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,DK,Denmark,2024,,478,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2015,,514,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2016,,534,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2017,,550,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2018,,563,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2019,,598,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2020,,608,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2021,,620,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2022,,622,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2023,,630,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EE,Estonia,2024,,635,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2015,,474,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2016,,479,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2017,,487,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2018,,493,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2019,,504,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2020,,520,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2021,,536,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2022,,550,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2023,,566,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EL,Greece,2024,,581,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2015,,482,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2016,,492,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2017,,529,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2018,,539,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2019,,546,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2020,,549,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2021,,554,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2022,,553,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2023,,551,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,ES,Spain,2024,,543,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2015,,508,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2016,,518,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2017,,530,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2018,,539,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2019,,548,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2020,,556,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2021,,561,,,,,
dataflow,ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),Passenger cars - per thousand inhabitants,A,Annual,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2022,,564,,,,,
